address,maxBonded
thor1v79578rg70pv26srym9a7qrqukc6seapggsm0w,81043.29
thor1qk52yas6gty2z6js7y564geh3pqq324ht08nzk,80469.22
thor1z2h46h8ewapudx9553yvy025747pja4faqvwa8,78370.26
thor19pdsy8wu0kemkhgcqdykge9f9t5dna597hdukg,77169.64
thor15ath5vmj35ggjen9n56a9q4pscgj8pt4d8l5t2,76717.67
thor1cr350cmvvuqs43zxcdgpy35pplnhzj42pmf7f7,71781.05
thor197998lk8l04uy5jpwzmr0y3hvy6fhsfturmme3,71588.83
thor1j0usfr9ksg3ee943zcyh46hjsc7etwz3qca86n,70445.54
thor1lwrr45wjp7tf4vwsy4m7h0th4rampz6kl2l3vd,69043.29
thor15chvj9hnyv72qfhqs9f66wu4cc6mzy6jxnt7n2,69019.89
thor1d24zd0jj9wdcjtfv8zw68k2d2h8dn5r8w952qt,68411.42
thor12rtakf762ez8wad2ljz80hx3475ajqmdm6vxyu,61574.67
thor15qfxnd3zhzmpzqwgfqzcrdky7tpecklx4l02vt,58386.27
thor1ld30uyy5zz023ydqfjn84gmw76h9gsfyp46607,56778.4
thor1h4klmpplz2jmzkv7aglne7qm7suu5yq3zw8n2y,55331.04
thor19z7wnqw0ec0hra0d890sketmmwcc78hywphkqa,54338.49
thor15d7x57v7gu3j3kgp2pfejeaf9h37vj4cyelrtg,53315.45
thor18kumuu7znddezjvwlh604upqvdxx24hakje8rz,52432.71
thor1hzxx4hcke55jgjvm7ylrg4c09hqsa95thwghj2,52315.2
thor1nd64anwkesexz549v59jj5kszpldnhcxz3kqhp,52166.69
thor1z9696d3e55lqsuxzkk9us7khylspp9sxfk02rv,51895.82
thor17u5tc7q2scaysfpq87gqevzuxu4f7ca27q0rez,51646.47
thor12kt0223lnel2na7ap8dtt08kqv7k8344ldnj9q,51390.51
thor1h5t9vmg30nrax6ylt65uhjppy028sm6lq5sdpt,51296.49
thor1sl2ynsvye9er5vxvvadf2yudq300pk8n5xcagn,50940.76
thor1lc5wj35xsjyjajjav5wqfvc5qgdfnnf968aan2,50593.95
thor10mfj5x7uptaetjaw8c5ypeppa5pgvaptuuc9ga,50366.64
thor1aa7x6up779gkspcsayytckna7m5nq64v7h8s0m,50052.14
thor13hapk9r6r5gvddtvnt6uu8w0aymjuq7pnq49wq,49705.36
thor1ss3p00p68r8ykcka8h5z8crlwr54c6uh7cc8dw,48562.82
thor1887hta79jvyrp2f67m3drztzjel8ewd29y0d59,44674.51
thor1ufw3ymmv27l8r7ysuf8usn84a9cze3lju6vaem,44485.19
thor15wrxeq7rw4t23rqprw0nwm9f04aqg8qwhpwvee,43596.04
thor13eld36elw8amqf3hg38a62d99c5s2q5l6y67zc,42160.32
thor10hptvmzaec62slr0e6ehgwzrnensjk6wff7h8x,40562.26
thor1lnre6rd4m2fnrpemsmffksvw7wm65gwfcvfa35,38145.81
thor1hqqr3l92ua0zajp0my9jcca74a64n83al2e7dz,36047.46
thor1lsnnjckg7rej6mdc4qkq36jppasaelpptfkypa,34156.75
thor163uhh0v9vj83t82cr4fclf5556xdywzjq7npd0,31906.67
thor1cjq5hmtq7aug0u2396rmsakdyyqqdrvwnud0na,31809.39
thor1jvap0l7n7vm6d5fdkmghytvxfpdkqqy6tg75rc,31725.28
thor1rxj48murztsvs9ezqnrsnmq8px2s25syfc7sx3,31194.16
thor14rry6j2qvh5zjzefg60yz86neup8z54mzmqr7y,31069.46
thor1435jckj33eduhznwp62fk49avav63v2c584xas,31026.04
thor19yfxnsd4rrxvakg6325y86fcwmewehendjj7hy,30787.34
thor140dt2w7zm0elwcgfafg5d0y759ktvkkkfrh7al,30011.33
thor1qyultjxlqv4gggaapl60wqn92548lm6vu22f50,28744.79
thor12k4uwgxw22zlyge6jm2afays8k3nuk0l7qgf2l,28715.51
thor1nc2hqx547qj5260je3zhe6yke459xc704543lt,27773.84
thor1enjhnd2n8u2j0jmwg80yrsm837g7v464xwuf05,27131.29
thor1v02x3dww72jwqz8seux9jka8z08e8nq84y3vtg,26225.68
thor10fp2pyygzawfgu2qvn7ft8yzw5yypr7g4z6lqy,24886.13
thor13q039808g0tpu0fynrg6dg6dhdsergf7p2eja0,22825.96
thor1fx09f8sp7ehltdxrfwpnkgtekvpwp4lhy4radk,21608.22
thor1sy5m99xh6ltelrnj84yuluguj5rp779he004s7,20926.08
thor1asmvww35pte224du0pms4n9ela963phtlqdfct,20926.08
thor1aypu43w55w88xfw7ygq7xplkq6yuepfydpqctx,20621.28
thor1f52jx7hnwmds290xpak5v6nteaw65txxz0jsr7,20621.28
thor14cddq5v3hgc5h0gj3zzdxdsgjqgndzav3xppx5,20621.28
thor1hxcdgn43pyz58ajdqd0hl3rfl3avwdd5y27whf,20621.28
thor19qw7ezsntnwagtx5xduau9hyy6u9x0yaduth9z,20598.55
thor17dhu5eceyenzv2vvyvaas6h93tuzm5azdgh3e9,20598.55
thor1ucjm8demq6uh6juz5g8f5ea5fzswrsxj0lmwps,20585.86
thor10aa9ksnvra2ah8yy8e509gd8u46m493xtjq90f,20585.86
thor1hw7uy6g3k48qq0090xn33k80dgd9njzddvlq75,20573.36
thor1wfl6ujt7xdc8qvljxq3a8w8e064u0zmcpyf625,20567.82
thor1npt7ykk3jsnv225atqngs5vt9h39284n0wpacl,20206.32
thor1wl3euq67mhx9dedcygde7sm735x7djm00xjzpr,19187.27
thor1stgurhwxy7h2z85nwe6cvwz4gtwzzjfdxk460x,18761.59
thor1qu5fkcehjgu0vtwmfzu0whg5tx2t4rtajjnn7q,15590.11
